"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"TNNT1";8,31921356544686e-138;2,44715054131139;0,707;0,009;3,34740196232885e-133
"CTB-36O1.2";3,29967087493814e-105;1,96501694223937;0,642;0,026;1,32768856994886e-100
"GPNMB";5,84537774214726e-104;2,39727042529332;0,862;0,088;2,35200464210779e-99
"ENPEP";4,21949703512097e-99;2,22647631295744;0,756;0,062;1,69779902202163e-94
"FXYD5";8,27136686218815e-94;1,99206366569314;0,984;0,2;3,32814988433865e-89
"RP11-346A3.2";2,16591103192775e-88;1,75231174482405;0,829;0,117;8,71497621916767e-84
"ANLN";2,31637150990178e-88;2,23949321118899;0,789;0,096;9,32038404439179e-84
"GNG4";6,9243004613049e-80;1,6596150960379;0,431;0,007;2,78613077661525e-75
"GCK";1,28941015533858e-74;1,79846893931872;0,447;0,013;5,18819964203585e-70
"LMO1";2,59399952255232e-74;1,79497671882369;0,374;0,002;1,04374758788938e-69
"PKMYT1";1,56024451604215e-73;1,80862954523065;0,488;0,021;6,2779558591988e-69
"PRODH";1,41686844842479e-72;1,77168543044664;0,593;0,049;5,70105357592681e-68
"CKMT1A";2,20329062876827e-71;1,51243809700455;0,528;0,032;8,86538050297489e-67
"CDC45";4,28882741682451e-71;1,89348512884639;0,504;0,027;1,72569548770768e-66
"RELN";2,90345892835909e-69;1,59896085365025;0,553;0,043;1,16826476900385e-64
"CDKN2A";1,54420537924037e-65;1,71590215645431;0,659;0,079;6,21341918444947e-61
"MCM2";3,29817994486786e-64;1,9567823356474;0,789;0,161;1,32708866441648e-59
"MCM4";1,13034136325318e-63;1,84089435202523;0,821;0,185;4,54815454332183e-59
"GREM1";1,04791253247572e-62;1,60662518907087;0,537;0,048;4,21648565692256e-58
"ANO9";1,98370138683197e-60;1,73628914660098;0,504;0,043;7,9818192701958e-56
"UBB";9,17399551106831e-60;-2,19735824247464;0,008;0,909;3,69134057378856e-55
"FANCA";1,71063450311404e-59;1,56166922117887;0,553;0,057;6,88308005017997e-55
"AARD";9,87530368772327e-59;1,68123560528942;0,772;0,164;3,97352594482921e-54
"CHI3L1";3,76748599385217e-58;1,96694535629418;0,699;0,123;1,5159233393463e-53
"SLC5A8";1,57499271005299e-57;1,69368467335187;0,439;0,029;6,33729816744022e-53
"PAQR4";3,75662828389845e-57;1,37079592333293;0,512;0,046;1,51155452259222e-52
"MCM5";3,00326324686322e-56;1,60044961409294;0,854;0,286;1,20842303264035e-51
"L1CAM";1,37436003488986e-55;1,20857339932454;0,301;0,004;5,53001247238634e-51
"ODF3B";2,31327728866755e-54;1,721877836445;0,659;0,105;9,30793382641162e-50
"PRUNE2";1,94622258558789e-52;1,10398980088718;0,301;0,007;7,83101581762998e-48
"SIM1";5,13580425644374e-52;1,13050081617355;0,268;0,002;2,06649355866527e-47
"DIAPH3";2,81548729634161e-51;1,28234079739533;0,358;0,018;1,13286762342897e-46
"AHNAK2";1,42663476473626e-50;1,32476712825606;0,496;0,055;5,74035030286928e-46
"CTB-107G13.1";1,66992756550504e-50;1,09877490017755;0,285;0,006;6,71928754532265e-46
